Monmouth,MONM,BIG SOUTH,76,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennesaw State,KENN,BIG SOUTH,75,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Southern,CHSO,BIG SOUTH,45,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell,CAM,BIG SOUTH,44,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
North Alabama,UNA,BIG SOUTH,37,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,HAMP,BIG SOUTH,32,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Webb,WEBB,BIG SOUTH,32,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbyterian,PRE,BIG SOUTH,22,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Madison,JMU,CAA,87,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,ALB,CAA,74,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,UNH,CAA,67,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,VILL,CAA,72,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon,ELON,CAA,66,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Towson,TOW,CAA,72,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,RICH,CAA,62,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,ME,CAA,66,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
William & Mary,W&M,CAA,64,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,DEL,CAA,48,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Brook,SB,CAA,52,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,URI,CAA,42,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth,DART,IVY LEAGUE,78,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale,YALE,IVY LEAGUE,76,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,PRIN,IVY LEAGUE,74,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,PENN,IVY LEAGUE,43,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,COR,IVY LEAGUE,46,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,CLMB,IVY LEAGUE,33,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,HARV,IVY LEAGUE,66,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,BRWN,IVY LEAGUE,32,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida A&M,FAMU,MEAC,68,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina A&T,NCAT,MEAC,80,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina State,SCST,MEAC,65,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk State,NORF,MEAC,42,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina Central,NCCU,MEAC,27,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard,HOW,MEAC,24,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan State,MORG,MEAC,27,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware State,DSU,MEAC,28,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethune Cookman,BCU,MEAC,45,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota State,NDSU,MVFC,95,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Iowa,UNI,MVFC,79,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois State,ILST,MVFC,76,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota State,SDST,MVFC,82,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois,SIU,MVFC,74,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SDAK,MVFC,62,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana State,INST,MVFC,62,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown State,YSU,MVFC,57,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri State,MOST,MVFC,36,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Illinois,WIU,MVFC,36,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,UND,MVFC,74,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Connecticut State,CCSU,NEC,68,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Morris,RMU,NEC,44,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Duquesne,DUQ,NEC,40,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart,SHU,NEC,44,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Francis (PA),SFPA,NEC,45,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant University,BRY,NEC,33,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagner,WAG,NEC,27,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LIU,LIU,NEC,22,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Marrimack,MRMK,NEC,33,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Peay,APSU,OVC,78,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri State,SEMO,OVC,68,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Martin,UTM,OVC,68,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky,EKU,OVC,66,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Tech,TNTC,OVC,45,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville State,JVST,OVC,60,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee State,TNST,OVC,40,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Illinois,EIU,OVC,36,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray State,MRRU,OVC,44,A,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,USD,PFL,69,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,DAY,PFL,50,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake,DRKE,PFL,45,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,DAV,PFL,42,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Marist,MRST,PFL,28,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Stetson,STET,PFL,27,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Morehead State,MORE,PFL,24,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,BUT,PFL,23,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,VALP,PFL,22,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville,JU,PFL,22,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross,HC,PATRIOT LEAGUE,62,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Laffayette,LAF,PATRIOT LEAGUE,44,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucknell,BUCK,PATRIOT LEAGUE,32,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh,LEH,PATRIOT LEAGUE,38,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,COLG,PATRIOT LEAGUE,45,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Fordham,FOR,PATRIOT LEAGUE,38,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,GTWN,PATRIOT LEAGUE,36,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarleton State,TARL,PATRIOT LEAGUE,20,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern University,SOU,SWAC,62,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie View A&M,PV,SWAC,54,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Grambling State,GRAM,SWAC,60,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Pine Bluff,UAPB,SWAC,45,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Southern,TXSO,SWAC,27,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcorn State,ALCN,SWAC,68,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama A&M,AAMU,SWAC,42,East,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama State,ALST,SWAC,41,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson State,JKST,SWAC,31,East,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi Valley State,MVSU,SWAC,27,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wofford,WOF,SOCON,79,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman,FUR,SOCON,78,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,UTC,SOCON,59,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Military,VMI,SOCON,53,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Samford,SAM,SOCON,58,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Citadel,CIT,SOCON,59,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Carolina,WCU,SOCON,29,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
East Tennessee State,ETSU,SOCON,55,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer,MER,SWAC,45,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholls State,NICH,SOUTHLAND,81,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Arkansas,CARK,SOUTHLAND,78,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Louisiana,SELA,SOUTHLAND,82,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston State,SHSU,SOUTHLAND,75,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
McNeese State,MCN,SOUTHLAND,73,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Incarnate Word,UIW,SOUTHLAND,49,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian,ACU,SOUTHLAND,53,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen F. Austin,SFA,SOUTHLAND,50,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern State,NWST,SOUTHLAND,41,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Baptist,HBAP,SOUTHLAND,38,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,LAM,SOUTHLAND,30,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Bowl,Orange Bowl,Sugar Bowl,Fiesta Bowl,Peach Bowl,Cotton Bowl,Citrus Bowl,Gator Bowl,Cactus Bowl,Alamo Bowl,Holiday Bowl,Sun Bowl,Liberty Bowl,Independence Bowl,Vegas Bowl,Military Bowl,Aloha Bowl,Humanitarian Bowl,Outback Bowl,Camping Bowl,Potato Bowl,Music City Bowl,New Orleans Bowl,Texas Bowl,New Mexico Bowl,Arizona Bowl,Frisco Bowl,Cure Bowl,Camellia Bowl,Bahamas Bowl,Birmingham Bowl,First Responder Bowl
[END_BOWL_NAMES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
